reward,frequency,amplitude,phase
84.06429013285796,"tensor([0.9124, 0.1111, 0.3203, 0.0718, 0.8254])","tensor([0.2257, 0.1213, 0.0834, 0.7262, 0.7434])","tensor([0.8782, 0.5261, 0.7576, 0.9075, 0.2054])"
163.69049923715167,"tensor([0.2239, 0.0143, 0.9645, 0.9191, 0.9155])","tensor([0.3328, 0.2891, 0.5686, 0.9723, 0.8070])","tensor([0.4913, 0.2421, 0.1827, 0.7262, 0.4044])"
177.07036297603887,"tensor([0.3807, 0.0477, 0.1235, 0.9464, 0.4105])","tensor([0.5022, 0.5275, 0.1609, 0.9292, 0.5657])","tensor([0.2000, 0.5534, 0.4392, 0.3804, 0.6435])"
179.04710989205705,"tensor([0.3209, 0.9780, 0.6360, 0.1978, 0.4496])","tensor([0.2918, 0.9809, 0.3405, 0.1711, 0.5597])","tensor([0.8356, 0.4142, 0.7386, 0.2943, 0.8480])"
180.80943896205483,"tensor([0.8021, 0.1023, 0.0436, 0.1386, 0.8660])","tensor([0.4583, 0.0414, 0.2867, 0.2748, 0.7820])","tensor([0.2229, 0.9308, 0.8436, 0.8891, 0.9196])"
